Team,Number,Name,Position,GP,G,A,PTS,PIM
Lake Forest College 6481.Html,5,Matteas Derraugh,D,18,2,12,14,8
Lake Forest College 6481.Html,21,Tyler Nielsen,C,25,9,3,12,18
Lake Forest College 6481.Html,9,Justin Ross,F,25,2,10,12,18
Lake Forest College 6481.Html,16,Colin Bella,F,24,8,3,11,6
Lake Forest College 6481.Html,4,Ryan Antonakis,D,20,2,9,11,10
Lake Forest College 6481.Html,24,Connor Sullivan,D,24,1,10,11,10
Lake Forest College 6481.Html,3,Connor Scahill,D,18,4,6,10,14
Lake Forest College 6481.Html,15,Tyler Buonopane,F,22,1,8,9,8
Lake Forest College 6481.Html,27,Connor Tartaglione,C,22,3,4,7,4
Lake Forest College 6481.Html,7,Ben Perkins,F,23,1,5,6,10
Lake Forest College 6481.Html,2,Fabrizio Mazzarelli,D,23,2,3,5,25
Lake Forest College 6481.Html,20,Philip Quetell,R,17,1,3,4,2
Lake Forest College 6481.Html,6,Jared Kaplowitz,D,24,0,4,4,16
Lake Forest College 6481.Html,8,Hayden Riva,F,18,3,0,3,8
Lake Forest College 6481.Html,13,Donald Borgula,R,8,0,2,2,0
Lake Forest College 6481.Html,26,Hardy Wagner,D,13,0,2,2,4
Lake Forest College 6481.Html,55,Andrew Kimball,L,10,1,0,1,15
Lake Forest College 6481.Html,29,Shane Hathaway,F,2,0,1,1,2
Lake Forest College 6481.Html,31,Alex Rohlf,G,1,0,0,0,0
Lake Forest College 6481.Html,19,Joshua Norman,F,2,0,0,0,0
Lake Forest College 6481.Html,1,Kohl Reddy,G,6,0,0,0,0
Lake Forest College 6481.Html,30,Dylan Kruss,G,8,0,0,0,2
Lake Forest College 6481.Html,17,Qaritag Kusugak-Clark,R,8,0,0,0,18
Lake Forest College 6481.Html,23,Seth Orozco,D,10,0,0,0,18
Lake Forest College 6481.Html,35,Bobby McCloskey,G,13,0,0,0,0
Lake Forest College 6481.Html,25,Andrew Nieusma,D,16,0,0,0,8
Lawrence University 6545.Html,91,Ethan Beaumont,L,27,6,14,20,52
Lawrence University 6545.Html,6,Cole Schneider,F,25,7,12,19,10
Lawrence University 6545.Html,16,Jack Michels,L,25,9,9,18,8
Lawrence University 6545.Html,72,Miles McCue,C,27,8,9,17,6
Lawrence University 6545.Html,11,Cory Checco,F,25,7,10,17,14
Lawrence University 6545.Html,15,Carter Cloutier,F,21,6,9,15,18
Lawrence University 6545.Html,2,Jayden Jensen,D,27,4,8,12,22
Lawrence University 6545.Html,18,Kyle Gierman,D,24,3,9,12,6
Lawrence University 6545.Html,40,Cody Brekke,R,27,5,5,10,30
Lawrence University 6545.Html,13,P.J. Noonan,C,19,1,7,8,12
Lawrence University 6545.Html,17,Robby Pustulka,R,17,3,4,7,10
Lawrence University 6545.Html,4,Jacob Jakusz,D,21,1,6,7,4
Lawrence University 6545.Html,23,Adam Brzezicki,R,18,4,1,5,42
Lawrence University 6545.Html,27,Oliver DeCroock,F,27,2,2,4,8
Lawrence University 6545.Html,5,Jeb Dee,D,23,1,3,4,6
Lawrence University 6545.Html,14,Will Crull,D,10,1,2,3,6
Lawrence University 6545.Html,22,Evan Izenstark,D,15,1,2,3,6
Lawrence University 6545.Html,10,Hugh Anderson,D,22,1,2,3,27
Lawrence University 6545.Html,8,Akhmed Malsagov,F,21,0,3,3,48
Lawrence University 6545.Html,12,Max Breon,F,13,1,1,2,6
Lawrence University 6545.Html,9,Brendan Vettraino,C,16,1,1,2,0
Lawrence University 6545.Html,21,Cristian Tallarico,D,10,0,2,2,8
Lawrence University 6545.Html,29,Jordan Cooper,F,15,0,2,2,15
Lawrence University 6545.Html,19,Max Wigfield,F,14,1,0,1,12
Lawrence University 6545.Html,26,Matt Ernst,D,2,0,0,0,0
Lawrence University 6545.Html,30,Ken Turelli,G,2,0,0,0,0
Lawrence University 6545.Html,7,Adam Zukowski,F,2,0,0,0,0
Lawrence University 6545.Html,20,Ryan Williams,F,3,0,0,0,0
Lawrence University 6545.Html,28,Dylan Marty,L,9,0,0,0,6
Lawrence University 6545.Html,33,Owen Carlson,G,11,0,0,0,0
Lawrence University 6545.Html,35,Nolan Mahaffey,G,21,0,0,0,0
Lindenwood University 13084.Html,19,Caige Sterzer,F,28,8,14,22,35
Lindenwood University 13084.Html,8,Kyle Jeffers,F,26,9,8,17,4
Lindenwood University 13084.Html,27,David Gagnon,F,28,8,8,16,25
Lindenwood University 13084.Html,21,Jake Southgate,L,28,7,9,16,6
Lindenwood University 13084.Html,12,Ethan Zielke,C,28,7,8,15,18
Lindenwood University 13084.Html,11,Jaeden Mercier,R,28,3,8,11,6
Lindenwood University 13084.Html,28,Kabore Dunn,D,23,0,11,11,20
Lindenwood University 13084.Html,5,Aiden Yakimchuk,D,16,5,5,10,6
Lindenwood University 13084.Html,9,Drew Kuzma,C,25,4,6,10,43
Lindenwood University 13084.Html,16,Caleb Price,D,27,4,6,10,6
Lindenwood University 13084.Html,13,Zach Aughe,F,28,3,7,10,39
Lindenwood University 13084.Html,24,Adam Conquest,F,27,3,5,8,28
Lindenwood University 13084.Html,10,Mitchell Allard,F,27,3,4,7,39
Lindenwood University 13084.Html,15,Joe Prouty,D,28,0,6,6,75
Lindenwood University 13084.Html,17,Patrick Schmiedlin,C,24,2,3,5,4
Lindenwood University 13084.Html,18,Jack Anderson,D,28,1,4,5,40
Lindenwood University 13084.Html,6,Cade Destefani,F,9,2,2,4,6
Lindenwood University 13084.Html,25,Austin Fraser,R,24,2,2,4,30
Lindenwood University 13084.Html,3,Kieran Ruscheinski,D,17,1,3,4,15
Lindenwood University 13084.Html,14,Coltan Wilkie,D,17,1,3,4,24
Lindenwood University 13084.Html,22,Brenden Rons,D,27,0,3,3,18
Lindenwood University 13084.Html,23,Shane LaVelle,F,7,1,0,1,2
Lindenwood University 13084.Html,31,Matthew Syverson,G,8,0,0,0,0
Lindenwood University 13084.Html,1,Trent Burnham,G,27,0,0,0,2
Long Island University 12796.Html,8,Isaiah Fox,F,37,14,21,35,66
Long Island University 12796.Html,13,Josh Zary,F,35,20,14,34,21
Long Island University 12796.Html,11,Chris Pappas,F,34,11,20,31,10
Long Island University 12796.Html,44,Noah Kane,F,33,8,22,30,48
Long Island University 12796.Html,6,Cade Mason,D,34,2,27,29,8
Long Island University 12796.Html,27,Remy Parker,F,35,13,6,19,6
Long Island University 12796.Html,15,Grayson Constable,R,37,9,9,18,29
Long Island University 12796.Html,21,Austin Brimmer,F,32,7,8,15,12
Long Island University 12796.Html,17,Nolan Welsh,R,32,6,9,15,21
Long Island University 12796.Html,12,Zack Nazzarett,F,19,3,9,12,4
Long Island University 12796.Html,5,Valtteri Piironen,D,31,3,9,12,18
Long Island University 12796.Html,20,Adam Pitters,F,31,4,5,9,10
Long Island University 12796.Html,19,Jack Quinn,L,34,2,6,8,31
Long Island University 12796.Html,25,Preston Brodziak,C,29,3,4,7,10
Long Island University 12796.Html,7,Jordan Di Cicco,D,33,2,5,7,4
Long Island University 12796.Html,23,Aaron Grounds,F,13,2,2,4,18
Long Island University 12796.Html,22,Riley Wallack,F,30,2,2,4,8
Long Island University 12796.Html,24,John Gormley,D,37,1,3,4,61
Long Island University 12796.Html,28,Garrett Valk,D,36,2,1,3,14
Long Island University 12796.Html,16,Xan Gurney,D,13,1,2,3,36
Long Island University 12796.Html,2,Peter Muzyka,D,35,0,3,3,70
Long Island University 12796.Html,10,Heath Armstrong,F,9,0,1,1,0
Long Island University 12796.Html,3,A.J. Casperson,D,12,0,1,1,2
Long Island University 12796.Html,35,Brandon Perrone,G,25,0,1,1,2
Long Island University 12796.Html,14,Luke Strickland,L,1,0,0,0,0
Long Island University 12796.Html,4,Atte Lehikoinen,D,7,0,0,0,2
Long Island University 12796.Html,31,Noah Rupprecht,G,8,0,0,0,0
Long Island University 12796.Html,18,Kade Peterson,F,9,0,0,0,4
Long Island University 12796.Html,33,Rico Dimatteo,G,9,0,0,0,0
Long Island University 12796.Html,9,Daniel Baldassarra,F,9,0,0,0,4
Minnesota State U   Mankato 6878.Html,6,Sam Morton,F,37,24,10,34,10
Minnesota State U   Mankato 6878.Html,21,Lucas Sowder,F,33,13,15,28,16
Minnesota State U   Mankato 6878.Html,10,Evan Murr,D,37,6,20,26,14
Minnesota State U   Mankato 6878.Html,15,Adam Eisele,F,37,8,15,23,16
Minnesota State U   Mankato 6878.Html,28,Brian Carrabes,C,36,10,12,22,6
Minnesota State U   Mankato 6878.Html,26,Kaden Bohlsen,C,37,11,10,21,52
Minnesota State U   Mankato 6878.Html,12,Josh Groll,F,34,7,13,20,15
Minnesota State U   Mankato 6878.Html,7,Luc Wilson,L,36,7,12,19,14
Minnesota State U   Mankato 6878.Html,3,Brandon Koch,D,34,1,13,14,18
Minnesota State U   Mankato 6878.Html,22,Steven Bellini,D,31,3,8,11,20
Minnesota State U   Mankato 6878.Html,23,Jordan Steinmetz,F,32,2,9,11,10
Minnesota State U   Mankato 6878.Html,4,Brett Moravec,C,27,4,4,8,10
Minnesota State U   Mankato 6878.Html,24,Zach Krajnik,F,27,1,6,7,2
Minnesota State U   Mankato 6878.Html,13,Jordan Power,D,31,1,6,7,26
Minnesota State U   Mankato 6878.Html,11,Tyler Haskins,L,18,4,2,6,2
Minnesota State U   Mankato 6878.Html,19,Will Hillman,F,36,2,3,5,12
Minnesota State U   Mankato 6878.Html,5,Mason Wheeler,D,37,1,4,5,18
Minnesota State U   Mankato 6878.Html,25,Brenden Olson,F,23,3,1,4,10
Minnesota State U   Mankato 6878.Html,20,Connor Gregga,F,28,2,2,4,8
Minnesota State U   Mankato 6878.Html,8,Campbell Cichosz,D,36,1,3,4,8
Minnesota State U   Mankato 6878.Html,27,Tony Malinowski,D,13,0,4,4,4
Minnesota State U   Mankato 6878.Html,18,Jakob Stender,D,27,0,4,4,4
Minnesota State U   Mankato 6878.Html,33,Alex Tracy,G,28,0,1,1,0
Minnesota State U   Mankato 6878.Html,32,Andrew Miller,G,1,0,0,0,0
Minnesota State U   Mankato 6878.Html,9,Tanner Edwards,F,5,0,0,0,4
Minnesota State U   Mankato 6878.Html,14,Kade Nielsen,F,8,0,0,0,0
Minnesota State U   Mankato 6878.Html,35,Keenan Rancier,G,12,0,0,0,0
